8,AGEL FY 25-26 Commissioning Status Update,,,,,,,,,For Chairman Budget Purpose @6.5GW +535 MW carryover,,,,,,,,,,,,31-Dec-25,,,,,
3,,,,,,,,,Monthwise Distribution,,,,,,,,,,,,,,,Quarterly Distribution,,,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,Merchant,Actual / Fcst,,,,,,50,,50,50,75,67,,292,100,,,50,100,142
,12a,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,142,,,,100,42,,,,,,,,,,142,142,,142,,,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,,,,,,50,,75,17,,,,,,142,142,,,125,17,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,,,,,,,,50,,50,,,42,,142,100,,,50,50,42
,12b,AGEL Merchant,AGE26BL,Merchant,S-5,150,,,,,150,,,,,,,,,,150,150,,150,,,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,,,,,,,,,45,105,,,,,150,150,,,,150,
,12,AGEL Hybrid Merchant,AGE26BL,Merchant,S-5,,,,,,,,,,,,50,75,25,,150,,,,,50,100
,13,AGEL Merchant,AGE24L,Merchant,S-5,150,Merchant,Plan,,50,100,,,,,,,,,,150,150,,150,,,
,13,AGEL Merchant,AGE24L,Merchant,S-5,,Merchant,Rephase,,,,,,,,,,50,100,,150,,,,,,150
,13,AGEL Merchant,AGE24L,Merchant,S-5,,Merchant,Actual / Fcst,,,,,,,,,,63,88,,150,,,,,,150
,14,AGEL Merchant,AGE24L,Merchant,A-14,150,Merchant,Plan,,,,,,,,150,,,,,150,150,,,,150,
,14,AGEL Merchant,AGE24L,Merchant,A-14,,Merchant,Rephase,,,,,,,,,,50,100,,150,,,,,,150
,14,AGEL Merchant,AGE24L,Merchant,A-14,,Merchant,Actual / Fcst,,,,,,,,,,75,75,,150,,,,,,150
,15,Cement - Hybrid,ACL,Group,A-1,125,Group,Plan,,,125,,,,,,,,,,125,125,,125,,,
,15,Cement - Hybrid,ACL,Group,A-1,,Group,Rephase,,,,,75,,50,,,,,,125,125,,,75,50,
,15,Cement - Hybrid,ACL,Group,A-1,,Group,Actual / Fcst,,,,,,50,,,75,,,,125,50,,,50,75,
,16,MLP T3 AP,AGE25CL,PPA,A-6,75,PPA,Plan,,,,,,,,75,,,,,75,75,,,,75,
,16,MLP T3 AP,AGE25CL,PPA,A-6,,PPA,Rephase,,,,,75,,,,,,,,75,75,,,75,,
,16,MLP T3 AP,AGE25CL,PPA,A-6,,PPA,Actual / Fcst,,,,,,,,,75,,,,75,,,,,75,
,17,MLP T1 J&K,AGE26AL,PPA,A-16,50,PPA,Plan,,,,,,50,,,,,,,50,50,,,50,,
,17,MLP T1 J&K,AGE26AL,PPA,A-16,,PPA,Rephase,,,,,,,,,50,,,,50,,,,,50,
,17,MLP T1 J&K,AGE26AL,PPA,A-16,,PPA,Actual / Fcst,,,,,,,,,,50,,,50,,,,,,50
,18,MLP T1 CG,AGE26AL,PPA,A-16,200,PPA,Plan,,,,,,,200,,,,,,200,200,,,,200,
,18,MLP T1 CG,AGE26AL,PPA,A-16,,PPA,Rephase,,,,,,,,,50,100,50,,200,,,,,50,150
,18,MLP T1 CG,AGE26AL,PPA,A-16,,PPA,Actual / Fcst,,,,,,,,,,175,25,,200,,,,,,200
,19,MLP T1 TN,AGE26AL,PPA,A-16,167,PPA,Plan,,,,,,,167,,,,,,167,167,,,,167,
,19,MLP T1 TN,AGE26AL,PPA,A-16,,PPA,Rephase,,,,,,,,,50,117,,,167,,,,,50,117
,19,MLP T1 TN,AGE26AL,PPA,A-16,,PPA,Actual / Fcst,,,,,,,,,,100,67,,167,,,,,,167
,20,MLP T1 OR,AGE26AL,PPA,A-16,333,PPA,Plan,,,,,,333,,,,,,,333,333,,,333,,
,20,MLP T1 OR,AGE26AL,PPA,A-16,,PPA,Rephase,,,,,,,,,,100,100,133,333,,,,,,333
,20,MLP T1 OR,AGE26AL,PPA,A-16,,PPA,Actual / Fcst,,,,,,,,,,150,183,,333,,,,,,333
,21,MLP T1 TR,AGE26AL,PPA,A10a,50,PPA,Plan,,,,,,50,,,,,,,50,50,,,50,,
,21,MLP T1 TR,AGE26AL,PPA,A10a,,PPA,Rephase,,,,,,50,,,,,,,50,50,,,50,,
,21,MLP T1 TR,AGE26AL,PPA,A10a,,PPA,Actual / Fcst,,,,,,,50,,,,,,50,50,,,,50,
,22,MLP T3 AP,AGE25CL,PPA,A-6,425,PPA,Plan,,,,,,,,,425,,,,425,,,,,425,
,22,MLP T3 AP,AGE25CL,PPA,A-6,,PPA,Rephase,,,,,,,,,,150,150,125,425,,,,,,425
,22,MLP T3 AP,AGE25CL,PPA,A-6,,PPA,Actual / Fcst,,,,,,,,,,100,150,175,425,,,,,,425
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Subtotal (Khavda Solar Projects),,,,,4485,,Plan,933,350,952,550,,433,367,275,425,200,,,4485,3860,,2235,983,1067,200
,,,,,,,,PPA,583,,475,550,,433,367,75,425,,,,2908,2483,,1058,983,867,
,,,,,,,,Merchant,350,350,352,,,,,200,,200,,,1452,1252,,1052,,200,200
,,,,,,,,Group,,,125,,,,,,,,,,125,125,,125,,,
,,,,,,,,Rephase,370,288,638,348,425,275,262,355,150,617,500,258,4485,2960,,1295,1048,767,1375
,,,,,,,,PPA,320,163,463,188,150,200,100,150,150,467,300,258,2908,1733,,945,538,400,1025
,,,,,,,,Merchant,50,125,175,160,200,75,112,205,,150,200,,1452,1102,,350,435,317,350
,,,,,,,,Group,,,,,75,,50,,,,,,125,125,,,75,50,
,,,,,,,,Actual / Fcst,370,288,638,60,263,500,125,250,275,838,705,175,4485,2493,,1295,823,650,1717
,,,,,,,,PPA,320,163,463,,138,175,125,200,150,575,425,175,2908,1583,,945,313,475,1175
,,,,,,,,Merchant,50,125,175,60,125,275,,50,50,263,280,,1452,860,,350,460,100,542
,,,,,,,,Group,,,,,,50,,,75,,,,125,50,,,50,75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Rajasthan Solar Projects,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Cement  RJ,ACL,Group,Essel park,300,Group,Plan,,,300,,,,,,,,,,300,300,,300,,,
,,,,,,,Group,Rephase,,,,150,150,,,,,,,,300,300,,,300,,
,,,,,,,Group,Actual / Fcst,,,,,150,,,,150,,,,300,150,,,150,150,
,2,Merchant,ASEJ6PL,Merchant,Bap,50,Merchant,Plan,,,50,,,,,,,,,,50,50,,50,,,
,,,,,,,Merchant,Rephase,,,50,,,,,,,,,,50,50,,50,,,
,,,,,,,Merchant,Actual / Fcst,,,50,,,,,,,,,,50,50,,50,,,
,3,MLP AP New,AGE26BL,PPA,Bandha,534,PPA,Plan,,,,,,,,250,284,,,,534,250,,,,534,
,,,,,,,PPA,Rephase,,,,,,,,,534,,,,534,,,,,534,
,,,,,,,PPA,Actual / Fcst,,,,,,,,,,,,,,,,,,,
,4,MLP T1 ,AGE25BL,PPA,Bandha,500,PPA,Plan,,,,,,,,,200,300,,,500,,,,,200,300
,,,,,,,PPA,Rephase,,,,,,,,,,250,250,,500,,,,,,500
,,,,,,,PPA,Actual / Fcst,,,,,,,,,,,,250,250,,,,,,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Rajasthan Solar Projects,,,,,1384,,Plan,,,350,,,,,250,484,300,,,1384,600,,350,,734,300
,,,,,,,,PPA,,,,,,,,250,484,300,,,1034,250,,,,734,300
,,,,,,,,Merchant,,,50,,,,,,,,,,50,50,,50,,,
,,,,,,,,Group,,,300,,,,,,,,,,300,300,,300,,,
,,,,,,,,Rephase,,,50,150,150,,,,534,250,250,,1384,350,,50,300,534,500
,,,,,,,,PPA,,,,,,,,,534,250,250,,1034,,,,,534,500
,,,,,,,,Merchant,,,50,,,,,,,,,,50,50,,50,,,
,,,,,,,,Group,,,,150,150,,,,,,,,300,300,,,300,,
,,,,,,,,Actual / Fcst,,,50,,150,,,,150,,,250,600,200,,50,150,150,250
,,,,,,,,PPA,,,,,,,,,,,,250,250,,,,,,250
,,,,,,,,Merchant,,,50,,,,,,,,,,50,50,,50,,,
,,,,,,,,Group,,,,,150,,,,150,,,,300,150,,,150,150,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C. Rajasthan Solar Projects (Additional to Chairman Plan - 500 MW),,,,,,,,,,,,,,,,,,,,,,,,,,
,3,NHPC BOO,ASEB1PL,PPA,Baiya,600,PPA,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,PPA,Rephase,,,,,,,,,,,,,,,,,,,
,,,,,,,PPA,Actual / Fcst,,,,,,,,,,,,300,300,,,,,,300
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"C. Rajasthan Solar Projects 
(Additional to Chairman Plan - 500 MW)",,,,,600,,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,,,,,,,,,
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rephase,,,,,,,,,,,,,,,,,,,
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,,,,,,,,,
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,Actual / Fcst,,,,,,,,,,,,300,300,,,,,,300
,,,,,,,,PPA,,,,,,,,,,,,300,300,,,,,,300
,,,,,,,,Merchant,,,,,,,,,,,,,,,,,,,
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D1. Khavda Solar (Copper + Merchant - 50 MW),,,,,,,,,,,,,,,,,,,,,,,,,,
,25,KCTL,KCTL,Group,A-15a,12.5,Group,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,Group,Rephase,,,,,,,,,,,12.5,,12.5,,,,,,12.5
,,,,,,,Group,Actual / Fcst,,,,,,,,,,,12.5,,12.5,,,,,,12.5
,26,MCIPL,MCIPL,Group,A-15a,12.5,Group,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,Group,Rephase,,,,,,,,,,,12.5,,12.5,,,,,,12.5
,,,,,,,Group,Actual / Fcst,,,,,,,,,,,12.5,,12.5,,,,,,12.5
,27,AGEL Merchant,ASEJo6PL,Merchant,A-15a,25,Merchant,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,Merchant,Rephase,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,Merchant,Actual / Fcst,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D1. Khavda Solar 
(Copper + Merchant - 50 MW)",,,,,50,,Plan,,,,,,,,,,,,,,,,,,,
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,,,,,,,,,
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rephase,,,,,,,,,,,50,,50,,,,,,50
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,,Group,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,,Actual / Fcst,,,,,,,,,,,50,,50,,,,,,50
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,,Group,,,,,,,,,,,25,,25,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D2. Khavda Solar (Additional for Internal - 650 MW),,,,,,,,,,,,,,,,,,,,,,,,,,
,23,AGEL Hybrid Merchant,AHEJ5L,Merchant,S-4,300,Merchant,Plan,,,,,,,,,,150,200,,350,,,,,,350
,,,,,,,Merchant,Rephase,,,,,,,,,100,100,100,,300,,,,,100,200
,,,,,,,Merchant,Actual / Fcst,,,,,,,,,,,,,,,,,,,
,24,MLP AP New,ARE57L,PPA,A-12,350,PPA,Plan,,,,,,,,,100,100,100,,300,,,,,100,200
,,,,,,,PPA,Rephase,,,,,,,,,150,200,,,350,,,,,150,200
,,,,,,,PPA,Actual / Fcst,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D2. Khavda Solar 
(Additional from Internal - 650 MW)",,,,,650,,Plan,,,,,,,,,100,250,300,,650,,,,,100,550
,,,,,,,,PPA,,,,,,,,,100,100,100,,300,,,,,100,200
,,,,,,,,Merchant,,,,,,,,,,150,200,,350,,,,,,350
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rephase,,,,,,,,,250,300,100,,650,,,,,250,400
,,,,,,,,PPA,,,,,,,,,150,200,,,350,,,,,150,200
,,,,,,,,Merchant,,,,,,,,,100,100,100,,300,,,,,100,200
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,Actual / Fcst,,,,,,,,,,,,,,,,,,,
,,,,,,,,PPA,,,,,,,,,,,,,,,,,,,
,,,,,,,,Merchant,,,,,,,,,,,,,,,,,,,
,,,,,,,,Group,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Plan / Actual,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Total Capacity,Cumm till 30-Nov-25,,Q1,Q2,Q3,Q4
,"2. AGEL Overall Wind FY 2025-26 
(A + C)",,,,,,,Plan,182,182,244,94,26,26,52,130,130,62,,76,1204,936,,608,146,312,138
,,,,,,,,PPA,,,,73,26,26,52,26,,,,,203,203,,,125,78,
,,,,,,,,Merchant,156,151,244,21,,,,104,130,62,,76,944,676,,551,21,234,138
,,,,,,,,Group,26,31,,,,,,,,,,,57,57,,57,,,
,,,,,,,,Rephase,104,26,161,78,78,78,104,104,99,104,130,138,1204,733,,291,234,307,372
,,,,,,,,PPA,,,,,,,,104,99,,,,203,104,,,,203,
,,,,,,,,Merchant,104,,130,78,78,78,104,,,104,130,138,944,572,,234,234,104,372
,,,,,,,,Group,,26,31,,,,,,,,,,57,57,,57,,,
,,,,,,,,Actual / Fcst,104,26,161,68,125,31,78,83,57,114,172,185,1204,676,,291,224,218,471
,,,,,,,,PPA,,,,,,,78,47,57,,,21,203,125,,,,182,21
,,,,,,,,Merchant,104,,130,68,125,31,,36,,114,172,164,944,494,,234,224,36,450
,,,,,,,,Group,,26,31,,,,,,,,,,57,57,,57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Khavda Wind Projects,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,AGEL Merchant,AGE24L,Merchant,PSS-04,52,Merchant,Plan,52,,,,,,,,,,,,52,52,,52,,,
,,,,,,,Merchant,Rephase,52,,,,,,,,,,,,52,52,,52,,,
,,,,,,,Merchant,Actual / Fcst,52,,,,,,,,,,,,52,52,,52,,,
,2,Hybrid Cement,ACL,Group,PSS-04,57.2,Group,Plan,26,31,,,,,,,,,,,57,57,,57,,,
,,,,,,,Group,Rephase,,26,31,,,,,,,,,,57,57,,57,,,
,,,,,,,Group,Actual / Fcst,,26,31,,,,,,,,,,57,57,,57,,,
,3,AGEL Merchant,AHEJ5L,Merchant,PSS-04,62.4,Merchant,Plan,52,10,,,,,,,,,,,62,62,,62,,,
,,,,,,,Merchant,Rephase,52,,10,,,,,,,,,,62,62,,62,,,
,,,,,,,Merchant,Actual / Fcst,52,,10,,,,,,,,,,62,62,,62,,,
,4,AGEL Hybrid Merchant,AGE26BL,Merchant,PSS-10,156,Merchant,Plan,52,104,,,,,,,,,,,156,156,,156,,,
,,,,,,,Merchant,Rephase,,,120,26,10,,,,,,,,156,156,,120,36,,
,,,,,,,Merchant,Actual / Fcst,,,120,26,,,,,,,10,,156,146,,120,26,,10
,5,AGEL Merchant,AHEJ5L,Merchant,PSS-08,67.6,Merchant,Plan,,,68,,,,,,,,,,68,68,,68,,,
,,,,,,,Merchant,Rephase,,,,,,52,16,,,,,,68,68,,,52,16,
,,,,,,,Merchant,Actual / Fcst,,,,,,31,,31,,5,,,68,62,,,31,31,5
,6,AGEL Merchant,ARE41L,Merchant,PSS-08,130,Merchant,Plan,,36,94,,,,,,,,,,130,130,,130,,,
,,,,,,,Merchant,Rephase,,,,52,26,26,26,,,,,,130,130,,,104,26,
,,,,,,,Merchant,Actual / Fcst,,,,,125,,,5,,,,,130,130,,,125,5,
,7,Google Hybrid,ARE3L,Merchant,PSS-08,15.6,Merchant,Plan,, ,16,,,,,,,,,,16,16,,16,,,
,,,,,,,Merchant,Rephase,,,,,16,,,,,,,,16,16,,,16,,
,,,,,,,Merchant,Actual / Fcst,,,,16,,,,,,,,,16,16,,,16,,
,8,Google Hybrid,ARE3L,Merchant,PSS-08,26,Merchant,Plan,,,26,,,,,,,,,,26,26,,26,,,
,,,,,,,Merchant,Rephase,,,,,26,,,,,,,,26,26,,,26,,
,,,,,,,Merchant,Actual / Fcst,,,,26,,,,,,,,,26,26,,,26,,
,9,AGEL Hybrid Merchant,ASEJ6PL,Merchant,PSS-08,62.4,Merchant,Plan,,,42,21,,,,,,,,,62,62,,42,21,,
,,,,,,,Merchant,Rephase,,,,,,,62,,,,,,62,62,,,,62,
,,,,,,,Merchant,Actual / Fcst,,,,,,,,,,31,21,10,62,,,,,,62
,10,SECI H-3,AHEJ5L,PPA,PSS-05,202.8,PPA,Plan,,,,73,26,26,52,26,,,,,203,203,,,125,78,
,,,,,,,PPA,Rephase,,,,,,,,104,99,,,,203,104,,,,203,
,,,,,,,PPA,Actual / Fcst,,,,,,,78,47,57,,,21,203,125,,,,182,21
,11a,AGEL Merchant,AGE25CL,Merchant,PSS-11,156,Merchant,Plan,,,,,,,,104,52,,,,156,104,,,,156,
,,,,,,,Merchant,Rephase,,,,,,,,,,104,52,,156,,,,,,156
,,,,,,,Merchant,Actual / Fcst,,,,,,,,,,78,62,16,156,,,,,,156
,12a,AGEL Merchant,AGE26AL,Merchant,PSS-12,140.4,Merchant,Plan,,,,,,,,,78,62,,,140,,,,,78,62
,,,,,,,Merchant,Rephase,,,,,,,,,,,78,62,140,,,,,,140
,,,,,,,Merchant,Actual / Fcst,,,,,,,,,,,78,62,140,,,,,,140
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Subtotal (Khavda Wind Projects),,,,,1128,,Plan,182,182,244,94,26,26,52,130,130,62,,,1128,936,,608,146,312,62
,,,,,,,,PPA,,,,73,26,26,52,26,,,,,203,203,,,125,78,
,,,,,,,,Merchant,156,151,244,21,,,,104,130,62,,,868,676,,551,21,234,62
,,,,,,,,Group,26,31,,,,,,,,,,,57,57,,57,,,
,,,,,,,,Rephase,104,26,161,78,78,78,104,104,99,104,130,62,1128,733,,291,234,307,296
,,,,,,,,PPA,,,,,,,,104,99,,,,203,104,,,,203,
,,,,,,,,Merchant,104,,130,78,78,78,104,,,104,130,62,868,572,,234,234,104,296
,,,,,,,,Group,,26,31,,,,,,,,,,57,57,,57,,,
,,,,,,,,Actual / Fcst,104,26,161,68,125,31,78,83,57,114,172,109,1128,676,,291,224,218,395
,,,,,,,,PPA,,,,,,,78,47,57,,,21,203,125,,,,182,21
,,,,,,,,Merchant,104,,130,68,125,31,,36,,114,172,88,868,494,,234,224,36,374
,,,,,,,,Group,,26,31,,,,,,,,,,57,57,,57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Khavda Wind (Additional for Internal - 421 MW),,,,,,,,,,,,,,,,,,,,,,,,,,
